category_tag,category,tag,count,essay_ids
cultural:South America,cultural,South America,11,ayahuasca; cacao; cassava; coffee; heliconia; maize; mimosa-pudica; okra; passionflower; quinoa; soybean
cultural:South Asia,cultural,South Asia,11,banana; carolina-rice; cinnamon; eggplant; gulmohar; indigo; jasmine; mulberry; poppy; tamarind; turmeric
cultural:Mesoamerica,cultural,Mesoamerica,8,agave; cacao; contrayerva; dioscoreavillosa; indigo; maize; passionflower; peanut
cultural:Andean Highlands,cultural,Andean Highlands,6,ayahuasca; cassava; contrayerva; peanut; potato; quinoa
cultural:Middle East,cultural,Middle East,4,coffee; jasmine; poppy; tamarind
cultural:Southeast Asia,cultural,Southeast Asia,4,banana; corpse-flower; paperbark; turmeric
cultural:Sub-Saharan Africa,cultural,Sub-Saharan Africa,4,banana; black-eyed-pea; carolina-rice; cassava
cultural:Amazon Basin,cultural,Amazon Basin,3,ayahuasca; cassava; how-to-read-an-herbarium-specimen
cultural:Oceania,cultural,Oceania,3,banana; breadfruit; paperbark
cultural:North Africa,cultural,North Africa,2,dragon-tree; pelargonium
cultural:Tropical Africa,cultural,Tropical Africa,2,tamarind; watermelon
cultural:Eastern Europe,cultural,Eastern Europe,1,guelder-rose
